City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,roald,62.5833,6.1333,12.09,87,75,1.54,NO,1667397047
316,mustafakemalpasa,40.0353,28.4117,21.25,28,6,1.27,TR,1667397048
317,hobyo,5.3505,48.5268,27.3,66,77,4.79,SO,1667397048
318,provideniya,64.3833,-173.3,-5.28,80,100,7.98,RU,1667397048
319,nelson bay,-32.7167,152.15,13.33,65,0,6.26,AU,1667397048
320,aksarka,66.5606,67.7975,-10.76,95,100,1.29,RU,1667397049
321,alugan,12.2188,125.4808,26.39,78,26,1.29,PH,1667397049
322,kysyl-syr,63.8986,122.7617,-10.94,95,94,3.27,RU,1667397049
323,udachnyy,66.4167,112.4,-8.64,78,100,6.25,RU,1667397049
324,ramon,16.7842,121.535,23.86,89,4,1.06,PH,1667397050
325,iqaluit,63.7506,-68.5145,-0.15,93,100,3.6,CA,1667397050
326,raudeberg,61.9875,5.1352,9.37,64,92,6.3,NO,1667397050
327,port macquarie,-31.4333,152.9167,10.5,63,1,3.35,AU,1667397051
328,lyubech,51.7026,30.6569,7.89,67,100,2.39,UA,1667397051
329,evensk,61.95,159.2333,-19.44,78,36,3.5,RU,1667397052
330,touros,-5.1989,-35.4608,29.81,56,65,5.5,BR,1667397052
331,saint-pierre,-21.3393,55.4781,25.82,65,75,4.63,RE,1667397052
332,kundiawa,-6.0167,144.9667,16.19,97,93,0.6,PG,1667396830
333,manokwari,-0.8667,134.0833,25.92,83,100,1.85,ID,1667397053
334,coahuayana,18.7333,-103.6833,24.2,85,4,1.21,MX,1667397053
335,tagusao,9.1924,117.8141,26.87,76,100,0.37,PH,1667397053
336,ukiah,39.1502,-123.2078,6.63,95,100,0.0,US,1667397054
337,bria,6.5423,21.9863,31.13,41,98,2.77,CF,1667397054
338,ranfurly,-45.1333,170.1,8.95,96,37,2.32,NZ,1667397054
339,shirokiy,49.758,129.523,-5.55,79,99,7.25,RU,1667397055
340,madimba,-10.4,40.3333,26.85,66,1,4.27,TZ,1667397055
341,vallenar,-28.5708,-70.7581,26.31,17,0,2.83,CL,1667397055
342,sao joao da barra,-21.6403,-41.0511,22.05,87,100,8.47,BR,1667397055
343,careiro da varzea,-3.2003,-59.8119,25.34,78,100,3.06,BR,1667397055
344,margate,51.3813,1.3862,15.17,71,91,3.58,GB,1667397056
345,sernovodskoye,43.3158,45.1637,11.56,60,100,2.95,RU,1667397056
346,masty,53.4122,24.5387,11.05,80,76,3.55,BY,1667397057
347,kahului,20.8947,-156.47,25.47,78,20,4.12,US,1667397058
348,adrar,20.5022,-10.0711,32.1,8,0,4.44,MR,1667397058
349,aripuana,-9.1667,-60.6333,22.55,49,100,2.97,BR,1667397058
350,kupang,-10.1667,123.5833,27.5,77,69,1.03,ID,1667397046
351,cocobeach,1.0002,9.5823,26.17,82,100,4.96,GA,1667397059
352,mangrol,21.1167,70.1167,27.25,59,0,2.99,IN,1667396815
353,mana,5.6592,-53.7767,29.16,67,100,3.09,GF,1667397060
354,del rio,29.3627,-100.8968,17.06,95,100,3.6,US,1667397060
355,mombetsu,44.3525,143.3525,6.14,75,93,3.59,JP,1667397060
356,along,28.1667,94.7667,16.68,83,53,0.8,IN,1667397061
357,bathsheba,13.2167,-59.5167,29.34,84,40,5.66,BB,1667397061
358,traismauer,48.3519,15.7635,19.31,69,87,4.17,AT,1667397061
359,necochea,-38.5473,-58.7368,20.84,35,0,6.48,AR,1667397061
360,lorengau,-2.0226,147.2712,27.9,70,6,1.61,PG,1667397063
361,clyde river,70.4692,-68.5914,-3.87,93,100,8.75,CA,1667397064
362,luneville,48.6,6.5,17.32,55,9,3.3,FR,1667397064
363,riyadh,24.6877,46.7219,34.08,17,18,3.12,SA,1667397064
